CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"21,523","-14,603","1,72,838",10.52,1.10,-0.15,"6,825",1.05,1.15,900,"25,950.00",300,604.85,646.50,300,-129.50,608.90,-,164,28,49,
,"1,67,082","-12,243","8,18,606",11.15,1.05,-0.20,"5,41,200",1.00,1.05,"18,750","26,000.00",300,655.60,660.40,300,-130.20,658.45,-,"6,186",-321,"2,178",
,"23,041","3,476","1,23,536",11.61,0.90,-0.20,"2,34,675",0.90,1.00,"44,250","26,050.00",300,683.65,747.30,300,-123.55,715.65,-,31,3,12,
,"61,907","1,279","3,64,760",12.20,0.85,-0.15,"8,29,875",0.80,0.85,"34,425","26,100.00",300,753.90,765.25,300,-127.85,756.75,-,106,1,68,
,"22,756","7,646","1,77,948",12.67,0.75,-0.20,"4,69,425",0.75,0.80,"5,73,975","26,150.00",300,778.75,847.95,300,-124.20,812.70,-,8,-,11,
,"65,389","11,128","2,90,986",13.22,0.70,-0.15,"9,51,900",0.70,0.75,"1,28,925","26,200.00",300,854.05,865.15,300,-119.70,860.65,-,18,1,54,
,"18,026","2,761","96,651",13.97,0.75,-0.10,"2,32,575",0.70,0.75,"1,06,425","26,250.00",300,884.10,928.30,300,-13.40,"1,023.60",-,-,-,7,
,"40,214",660,"1,88,466",14.49,0.70,-0.10,"2,54,175",0.65,0.70,"7,85,775","26,300.00",300,915.15,998.30,300,-187.10,932.90,-,5,-1,13,
,"10,239","6,332","1,09,109",14.87,0.60,-0.20,"4,39,050",0.60,0.65,"1,72,950","26,350.00",300,983.65,"1,025.90",300,-1.85,"1,384.60",-,-,-,8,
,"39,590","2,347","1,65,311",15.35,0.55,-0.20,"10,82,925",0.55,0.65,"7,62,225","26,400.00",150,"1,034.80","1,077.65",150,0.65,"1,437.70",-,-,-,8,
,"6,255",785,"32,796",16.11,0.60,-0.15,"18,000",0.60,0.65,"1,650","26,450.00",150,"1,081.80","1,126.65",150,-,"1,280.00",-,-,-,9,
,"1,12,819","28,051","3,49,972",16.57,0.55,-0.20,"15,30,975",0.50,0.55,"6,44,475","26,500.00",150,"1,138.70","1,196.50",150,-134.45,"1,154.00",-,65,3,30,
,"6,652",210,"31,796",17.17,0.55,-0.15,"79,350",0.55,0.60,"14,400","26,550.00",150,"1,184.75","1,248.35",150,-,-,-,-,-,-,
,"18,284","2,119","34,332",17.78,0.55,-0.15,"3,36,300",0.50,0.55,"1,90,200","26,600.00",150,"1,227.35","1,276.20",150,-,-,-,-,-,-,
,"2,433",51,"13,082",18.20,0.50,-0.15,"60,975",0.50,0.55,"1,275","26,650.00",150,"1,281.35","1,327.10",150,-,"1,570.00",-,-,-,1,
,"3,055",-622,"17,587",18.79,0.50,-0.15,"54,150",0.50,0.55,"66,000","26,700.00",150,"1,338.85","1,376.70",150,-,-,-,-,-,-,
,"1,242",304,"7,192",19.17,0.45,-0.20,"1,17,075",0.45,0.50,"6,525","26,750.00",150,"1,392.75","1,456.00",150,-,-,-,-,-,-,
,"2,984",-215,"12,370",19.75,0.45,-0.15,"1,74,600",0.45,0.50,"47,775","26,800.00",150,"1,435.25","1,477.35",150,-,-,-,-,-,-,
,809,-82,"2,094",20.33,0.45,-0.15,"9,975",0.45,0.50,"4,200","26,850.00",150,"1,487.80","1,534.05",150,-,-,-,-,-,-,
,"1,143",-889,"9,071",21.12,0.50,-0.10,"39,150",0.45,0.50,"27,000","26,900.00",150,"1,539.30","1,586.10",150,-,-,-,-,-,-,
,835,-571,"6,459",21.48,0.45,-0.15,"52,875",0.40,0.45,"3,225","26,950.00",150,"1,582.70","1,640.55",150,-,-,-,-,-,-,
,"60,361","8,761","1,29,023",22.05,0.45,-0.15,"13,76,775",0.40,0.45,"9,84,600","27,000.00",75,"1,646.25","1,699.50",150,-132.25,"1,651.55",-,11,-,9,
,"2,458",146,"12,690",22.36,0.40,-0.15,"1,00,500",0.40,0.45,"76,575","27,050.00",150,"1,673.00","1,727.60",150,-,-,-,-,-,-,
,"8,137","1,547","47,148",23.18,0.45,-0.10,"87,675",0.40,0.45,"2,68,950","27,100.00",150,"1,732.40","1,778.50",150,-250.05,"1,723.20",-,6,-4,113,
,"17,085","-2,885","64,263",23.48,0.40,-0.15,"1,59,450",0.40,0.45,"2,48,175","27,150.00",150,"1,625.40","1,833.75",150,-,-,-,-,-,-,
